Profit,Date
-98.76406996498804,2020-06-02 00:00:00
293.32928779601446,2020-06-03 16:00:00
302.1291664298949,2020-06-08 08:00:00
-103.73101380759725,2020-06-10 00:00:00
308.08111100856377,2020-06-11 00:00:00
-105.7745147796069,2020-06-12 00:00:00
314.15030889543254,2020-06-15 00:00:00
-107.85827272076517,2020-06-16 00:00:00
-106.77968999355751,2020-06-17 00:00:00
317.1356792808658,2020-06-18 00:00:00
326.64974965929173,2020-06-19 00:00:00
336.4492421490705,2020-06-22 00:00:00
-115.5142398045142,2020-06-25 00:00:00
-114.35909740646905,2020-06-29 00:00:00
339.64651929721316,2020-06-30 00:00:00
-116.61197162537654,2020-07-01 00:00:00
-115.44585190912277,2020-07-02 00:00:00
-114.29139339003153,2020-07-03 00:00:00
339.4454383683937,2020-07-06 12:00:00
349.62880151944546,2020-07-13 00:00:00
-120.03922185500961,2020-07-15 00:00:00
-118.83882963645952,2020-07-16 00:00:00
-117.65044134009491,2020-07-17 00:00:00
349.42181078008196,2020-07-17 20:00:00
359.9044651034844,2020-07-21 00:00:00
-123.56719968552966,2020-07-23 00:00:00
-122.33152768867434,2020-07-24 00:00:00
-121.1082124117876,2020-07-27 00:00:00
359.69139086300925,2020-07-28 00:00:00
370.4821325888995,2020-07-29 00:00:00
381.59659656656646,2020-07-30 00:00:00
393.0444944635634,2020-07-30 20:00:00
404.83582929747035,2020-08-05 16:00:00
-138.99363472546483,2020-08-21 00:00:00
412.8110951346305,2020-08-24 00:00:00
425.19542798866945,2020-08-25 00:00:00
-145.98376360944317,2020-08-26 00:00:00
433.57177792004615,2020-08-27 00:00:00
-148.85964375254918,2020-08-28 00:00:00
-147.3710473150237,2020-08-28 12:00:00
437.6920105256204,2020-09-01 00:00:00
-150.27425694712966,2020-09-02 00:00:00
-148.77151437765835,2020-09-03 00:00:00
441.85139770164534,2020-09-04 00:00:00
-151.7023132108982,2020-09-07 08:00:00
-150.18529007878922,2020-09-08 00:00:00
446.0503115340039,2020-09-09 00:00:00
-153.14394029334136,2020-09-14 08:00:00
454.8375026712239,2020-09-16 00:00:00
-156.1608759171202,2020-09-18 00:00:00
-154.59926715794901,2020-09-21 00:00:00
-153.0532744863695,2020-09-22 00:00:00
-151.5227417415058,2020-09-23 00:00:00
-150.00751432409075,2020-09-23 08:00:00
445.5223175425495,2020-09-25 00:00:00
458.887987068826,2020-09-25 16:00:00
-157.5515422269636,2020-09-29 00:00:00
-155.97602680469393,2020-09-30 00:00:00
-154.41626653664702,2020-10-01 00:00:00
458.61631161384156,2020-10-02 00:00:00
472.3748009622568,2020-10-05 00:00:00
-162.1820149970415,2020-10-06 00:00:00
-160.5601948470711,2020-10-06 20:00:00
476.8637786958012,2020-10-09 00:00:00
491.1696920566752,2020-10-12 00:00:00
505.90478281837545,2020-10-12 08:00:00
521.0819263029268,2020-10-13 00:00:00
-178.9047946973382,2020-10-13 16:00:00
-177.11574675036482,2020-10-16 00:00:00
-175.34458928286116,2020-10-16 20:00:00
-173.59114339003256,2020-10-20 00:00:00
-171.85523195613223,2020-10-21 00:00:00
-170.13667963657093,2020-10-22 00:00:00
-168.43531284020523,2020-10-23 00:00:00
500.2528791354096,2020-10-26 00:00:00
-171.75348850315729,2020-10-27 00:00:00
-170.03595361812572,2020-10-29 00:00:00
505.0067822458334,2020-10-29 08:00:00
-173.3856619044028,2020-10-30 00:00:00
514.9554158560763,2020-11-02 00:00:00
-176.80135944391958,2020-11-03 16:00:00
525.1000375484412,2020-11-05 00:00:00
