Time	Open	High	Low	Close	Volume	Spread
2010-03-04 00:00:00	88.59	88.63	88.41	88.415	42326	9
2010-03-04 04:00:00	88.415	88.51	88.135	88.4	56371	9
2010-03-04 08:00:00	88.4	88.565	88.32	88.385	69147	9
2010-03-04 12:00:00	88.385	89.21	88.29	88.95	89888	9
2010-03-04 16:00:00	88.95	89.25	88.93	89.09	38110	8
2010-03-04 20:00:00	89.095	89.205	88.975	89.17	19761	10
2010-03-05 00:00:00	89.17	89.35	89.15	89.235	39912	10
2010-03-05 04:00:00	89.24	89.44	89.205	89.37	36595	9
2010-03-05 08:00:00	89.37	89.375	89.2	89.33	61029	8
2010-03-05 12:00:00	89.33	90.57	89.32	90.56	92491	10
2010-03-05 16:00:00	90.56	90.585	90.305	90.36	64936	8
2010-03-05 20:00:00	90.36	90.38	90.24	90.26	9540	9
2010-03-07 20:00:00	90.445	90.675	90.34	90.605	20954	29
2010-03-08 00:00:00	90.605	90.655	90.34	90.42	71889	8
2010-03-08 04:00:00	90.42	90.48	90.355	90.385	65108	12
2010-03-08 08:00:00	90.385	90.445	90.15	90.4	103412	8
2010-03-08 12:00:00	90.4	90.49	90.28	90.385	96618	7
2010-03-08 16:00:00	90.39	90.42	90.22	90.31	80306	9
2010-03-08 20:00:00	90.31	90.325	90.225	90.3	23801	10
2010-03-09 00:00:00	90.3	90.305	89.875	89.99	75093	10
2010-03-09 04:00:00	89.985	90.065	89.865	89.935	70068	8
2010-03-09 08:00:00	89.935	90.1	89.63	89.77	110206	7
2010-03-09 12:00:00	89.77	89.925	89.695	89.77	124851	9
2010-03-09 16:00:00	89.77	90.045	89.76	89.94	98747	8
2010-03-09 20:00:00	89.935	90.06	89.84	89.995	32305	8
2010-03-10 00:00:00	89.995	90.08	89.955	90.03	50673	12
2010-03-10 04:00:00	90.03	90.15	89.98	89.99	59948	7
2010-03-10 08:00:00	89.995	90.475	89.935	90.385	110906	8
2010-03-10 12:00:00	90.385	90.82	90.345	90.63	109682	10
2010-03-10 16:00:00	90.635	90.72	90.42	90.515	76889	9
2010-03-10 20:00:00	90.515	90.56	90.385	90.49	27192	9
2010-03-11 00:00:00	90.49	90.51	90.205	90.29	64680	9
2010-03-11 04:00:00	90.29	90.465	90.285	90.36	54497	10
2010-03-11 08:00:00	90.36	90.675	90.36	90.67	88440	10
2010-03-11 12:00:00	90.67	90.71	90.325	90.5	107295	8
2010-03-11 16:00:00	90.5	90.65	90.43	90.59	89424	8
2010-03-11 20:00:00	90.59	90.74	90.485	90.665	28720	10
2010-03-12 00:00:00	90.665	90.7	90.47	90.65	50574	8
2010-03-12 04:00:00	90.65	90.685	90.545	90.625	63820	7
2010-03-12 08:00:00	90.625	90.64	90.165	90.38	109723	8
2010-03-12 12:00:00	90.38	91.085	90.345	90.72	120048	8
2010-03-12 16:00:00	90.72	90.76	90.285	90.51	84031	10
2010-03-12 20:00:00	90.51	90.575	90.43	90.54	12087	9
2010-03-14 20:00:00	90.61	90.715	90.53	90.705	10421	23
2010-03-15 00:00:00	90.705	90.8	90.61	90.65	63126	12
2010-03-15 04:00:00	90.65	90.74	90.55	90.74	55255	10
2010-03-15 08:00:00	90.745	90.775	90.61	90.67	81723	9
2010-03-15 12:00:00	90.67	90.79	90.405	90.445	92599	9
2010-03-15 16:00:00	90.44	90.545	90.35	90.48	68139	9
2010-03-15 20:00:00	90.485	90.535	90.26	90.33	22241	9
2010-03-16 00:00:00	90.33	90.37	90.03	90.085	61254	9
2010-03-16 04:00:00	90.085	90.33	89.96	90.285	71973	10
2010-03-16 08:00:00	90.28	90.73	90.27	90.665	130563	9
2010-03-16 12:00:00	90.665	90.715	90.24	90.43	122522	10
2010-03-16 16:00:00	90.43	90.7	90.155	90.235	76906	8
2010-03-16 20:00:00	90.235	90.41	90.21	90.31	15187	9
2010-03-17 00:00:00	90.31	90.45	90.03	90.15	56187	9
2010-03-17 04:00:00	90.155	90.67	90.15	90.455	95094	11
2010-03-17 08:00:00	90.45	90.71	90.385	90.605	121147	10
2010-03-17 12:00:00	90.61	90.61	90.37	90.42	119977	10
2010-03-17 16:00:00	90.43	90.455	90.11	90.26	86812	10
2010-03-17 20:00:00	90.26	90.45	90.24	90.415	23603	10
2010-03-18 00:00:00	90.415	90.43	90.14	90.2	70997	9
2010-03-18 04:00:00	90.195	90.33	89.965	90.035	70319	13
2010-03-18 08:00:00	90.035	90.335	89.75	90.205	124322	10
2010-03-18 12:00:00	90.205	90.8	90.04	90.46	122236	10
2010-03-18 16:00:00	90.46	90.465	90.155	90.355	74946	10
2010-03-18 20:00:00	90.355	90.51	90.275	90.48	23833	12
2010-03-19 00:00:00	90.48	90.595	90.35	90.455	52901	9
2010-03-19 04:00:00	90.455	90.55	90.415	90.5	47291	8
2010-03-19 08:00:00	90.505	90.53	90.395	90.51	81682	11
2010-03-19 12:00:00	90.51	90.715	90.44	90.505	108162	11
2010-03-19 16:00:00	90.505	90.56	90.33	90.545	61024	8
2010-03-19 20:00:00	90.54	90.595	90.48	90.525	3878	15
